model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,txt_accuracy,txt_auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,prompt_eval_count_mean,prompt_eval_count_median,prompt_eval_count_sd,eval_count_mean,eval_count_median,eval_count_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model_dir,model_params,model_quantization,total_duration_sec_missing_count,load_duration_sec_missing_count,prompt_eval_duration_sec_missing_count,eval_duration_sec_missing_count,python_api_duration_sec_missing_count,confidence_txt_missing_count,prompt_eval_count_missing_count,eval_count_missing_count
llama3.2:1b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.11843810081481934,0.09725260734558105,0.16343403644847154,49.0,0.4667681380010147,49.0,0.4668,,,,,,,,,,,,,,,,,,,21,28,45,6,0.3181818181818182,0.7777777777777778,0.45161290322580644,llama3_2_1b-instruct-q4_k_m,1,q4_k_m,1,1,1,1,1,1,1,1
llama3.2:1b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,0.656248173713684,0.5702732801437378,0.2923956170551063,32.0,0.47504456327985733,32.0,0.475,,,,,,,,,,,,,,,,,,,28,4,62,6,0.3111111111111111,0.8235294117647058,0.45161290322580644,llama3_2_1b-instruct-q4_k_m,1,q4_k_m,1,1,1,1,1,1,1,1
llama3.2:1b-instruct-q4_K_M,PromptType.COT,100,100,0,0,0.6873657679557801,0.6367324590682983,0.3543051832752454,26.0,0.44298245614035087,26.0,0.443,,,,,,,,,,,,,,,,,,,19,7,69,5,0.2159090909090909,0.7916666666666666,0.3392857142857143,llama3_2_1b-instruct-q4_k_m,1,q4_k_m,1,1,1,1,1,1,1,1
llama3.2:3b-instruct-fp16,PromptType.COT,100,100,0,0,2.60281662940979,2.5324543714523315,0.48539675959225537,49.0,0.5733130390664637,49.0,0.5733,,,,,,,,,,,,,,,,,,,21,28,45,6,0.3181818181818182,0.7777777777777778,0.45161290322580644,llama3_2_3b-instruct-fp16,3,fp16,1,1,1,1,1,1,1,1
llama3.2:3b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,2.108913998603821,2.003411293029785,0.6994046176403979,47.0,0.535218253968254,47.0,0.5352,,,,,,,,,,,,,,,,,,,19,28,44,9,0.30158730158730157,0.6785714285714286,0.41758241758241754,llama3_2_3b-instruct-fp16,3,fp16,1,1,1,1,1,1,1,1
llama3.2:3b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.2891098046302795,0.21620047092437744,0.7361612642930999,60.0,0.6760000000000002,60.0,0.676,,,,,,,,,,,,,,,,,,,14,46,29,11,0.32558139534883723,0.56,0.411764705882353,llama3_2_3b-instruct-fp16,3,fp16,1,1,1,1,1,1,1,1
marco-o1:7b-fp16,PromptType.COT,100,100,0,0,6.772101132869721,6.831602215766907,0.8217354948243114,41.0,0.4662457503642545,41.0,0.4662,,,,,,,,,,,,,,,,,,,25,16,55,4,0.3125,0.8620689655172413,0.4587155963302752,marco-o1_7b-fp16,7,fp16,1,1,1,1,1,1,1,1
marco-o1:7b-fp16,PromptType.COT_NSHOT,100,100,0,0,5.840510463714599,5.822887539863586,0.8530370987829448,48.0,0.5115131578947368,48.0,0.5115,,,,,,,,,,,,,,,,,,,19,29,47,5,0.2878787878787879,0.7916666666666666,0.4222222222222222,marco-o1_7b-fp16,7,fp16,1,1,1,1,1,1,1,1
marco-o1:7b-fp16,PromptType.SYSTEM1,100,100,0,0,0.5583850646018982,0.40197885036468506,1.5613423170285248,67.0,0.5263825469304921,67.0,0.5264,,,,,,,,,,,,,,,,,,,7,60,13,20,0.35,0.25925925925925924,0.29787234042553196,marco-o1_7b-fp16,7,fp16,1,1,1,1,1,1,1,1
mistral-nemo:12b-instruct-2407-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.38591981172561646,0.3112591505050659,0.8162305246942245,46.0,0.4813988095238095,46.0,0.4814,,,,,,,,,,,,,,,,,,,23,23,49,5,0.3194444444444444,0.8214285714285714,0.45999999999999996,mistral-nemo_12b-instruct-2407-q4_k_m,12,q4_k_m,1,1,1,1,1,1,1,1
mistral-nemo:12b-instruct-2407-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,4.944514317512512,4.881397485733032,0.7628751581531537,36.0,0.5435855263157895,36.0,0.5436,,,,,,,,,,,,,,,,,,,21,15,61,3,0.25609756097560976,0.875,0.39622641509433965,mistral-nemo_12b-instruct-2407-q4_k_m,12,q4_k_m,1,1,1,1,1,1,1,1
mistral-nemo:12b-instruct-2407-q4_K_M,PromptType.COT,100,100,0,0,4.992182180881501,4.921117305755615,0.6977759732519031,32.0,0.4911642411642412,32.0,0.4912,,,,,,,,,,,,,,,,,,,25,7,67,1,0.2717391304347826,0.9615384615384616,0.42372881355932207,mistral-nemo_12b-instruct-2407-q4_k_m,12,q4_k_m,1,1,1,1,1,1,1,1
