model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,avg_execution_time,median_execution_time,sd_execution_time,prediction_accuracy,auc_roc,avg_total_duration,avg_load_duration,avg_prompt_eval_duration,avg_eval_duration,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params_b,quantization
qwen2.5:3b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.20255696058273315,0.16807425022125244,0.3337180246255601,66.0,0.6813987372510928,200778391.91,56429455.35,15890000.0,114160000.0,18,48,23,11,0.43902439024390244,0.6206896551724138,0.5142857142857142,66.0,0.6814,qwen2_5_3b-instruct-q4_k_m,3,q4_k_m
qwen2.5:3b-instruct-q4_K_M,PromptType.COT,100,100,0,0,2.195884656906128,2.209585428237915,0.4214829061863838,60.0,0.45002536783358704,2193708411.62,29299285.39,18560000.0,2137030000.0,16,44,29,11,0.35555555555555557,0.5925925925925926,0.4444444444444444,60.0,0.45,qwen2_5_3b-instruct-q4_k_m,3,q4_k_m
qwen2.5:0.5b-instruct-q4_K_M,PromptType.COT,100,100,0,0,0.578096752166748,0.5222499370574951,0.29788220057542675,48.0,0.46833333333333327,576208995.14,28594796.28,9620000.0,529590000.0,14,34,36,16,0.28,0.4666666666666667,0.35000000000000003,48.0,0.4683,qwen2_5_0_5b-instruct-q4_k_m,5,q4_k_m
qwen2.5:0.5b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.13845160484313965,0.11951005458831787,0.1973685089675919,52.0,0.40930341280972415,136703962.53,43849568.39,11740000.0,67360000.0,6,46,23,25,0.20689655172413793,0.1935483870967742,0.19999999999999998,52.0,0.4093,qwen2_5_0_5b-instruct-q4_k_m,5,q4_k_m
qwen2.5:0.5b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,0.6243406009674072,0.5397453308105469,0.3039646425700998,44.0,0.5149253731343284,622245768.7,28902909.98,96970000.0,461230000.0,26,18,49,7,0.3466666666666667,0.7878787878787878,0.48148148148148145,44.0,0.5149,qwen2_5_0_5b-instruct-q4_k_m,5,q4_k_m
gemma2:9b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.6991984105110168,0.6400169134140015,0.44282257946095616,61.0,0.578678970373968,697224466.78,82004100.37,31790000.0,577520000.0,18,43,28,11,0.391304347826087,0.6206896551724138,0.48,61.0,0.5787,gemma2_9b-instruct-fp16,9,fp16
gemma2:9b-instruct-fp16,PromptType.COT,100,100,0,0,8.275824875831605,8.371060013771057,0.850652652621548,59.0,0.5313230481533427,8273882073.22,42856847.41,41220000.0,8186630000.0,17,42,27,14,0.38636363636363635,0.5483870967741935,0.4533333333333333,59.0,0.5313,gemma2_9b-instruct-fp16,9,fp16
gemma2:9b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,7.644705367088318,7.497305512428284,0.9735976812614738,50.0,0.5179990649836372,7642437940.67,43458809.01,514760000.0,7069120000.0,22,28,41,9,0.3492063492063492,0.7096774193548387,0.4680851063829788,50.0,0.518,gemma2_9b-instruct-fp16,9,fp16
sailor2:20b-chat-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,6.06885511636734,6.135428786277771,0.9107354221960122,45.0,0.513157894736842,6066704080.7,27592234.76,1157220000.0,4874450000.0,20,25,51,4,0.28169014084507044,0.8333333333333334,0.4210526315789474,45.0,0.5132,sailor2_20b-chat-q4_k_m,20,q4_k_m
sailor2:20b-chat-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.6199891829490661,0.49531829357147217,1.143100050738868,46.0,0.5633680555555556,618015501.92,136767830.41,64590000.0,410620000.0,31,15,49,5,0.3875,0.8611111111111112,0.5344827586206897,46.0,0.5634,sailor2_20b-chat-q4_k_m,20,q4_k_m
