model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params,model_quantization
dolphin-llama3.1:8b-v2.9.4-Q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,55.0,0.5588095238095239,,,,,,,,,,,,,24,31,39,6,0.38095238095238093,0.8,0.5161290322580645,55.0,0.5588,dolphin-llama3_1_8b-v2_9_4-q4_k_m,8,q4_k_m
dolphin-llama3.1:8b-v2.9.4-Q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,51.0,0.5411407199625993,,,,,,,,,,,,,18,33,36,13,0.3333333333333333,0.5806451612903226,0.4235294117647058,51.0,0.5411,dolphin-llama3_1_8b-v2_9_4-q4_k_m,8,q4_k_m
granite3.1-dense:2b-instruct-fp16,PromptType.COT,100,100,0,0,,,,29.0,0.5111618467782851,,,,,,,,,,,,,24,5,68,3,0.2608695652173913,0.8888888888888888,0.4033613445378151,29.0,0.5112,granite3_1-dense_2b-instruct-fp16,2,fp16
granite3.1-dense:2b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,52.0,0.5837362637362637,,,,,,,,,,,,,23,29,36,12,0.3898305084745763,0.6571428571428571,0.4893617021276596,52.0,0.5837,granite3_1-dense_2b-instruct-fp16,2,fp16
granite3.1-dense:2b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,,,,57.0,0.4058853373921867,,,,,,,,,,,,,12,45,28,15,0.3,0.4444444444444444,0.3582089552238806,57.0,0.4059,granite3_1-dense_2b-instruct-fp16,2,fp16
qwen2.5:7b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,52.0,0.5799086757990867,,,,,,,,,,,,,21,31,42,6,0.3333333333333333,0.7777777777777778,0.4666666666666666,52.0,0.5799,qwen2_5_7b-instruct-q4_k_m,7,q4_k_m
qwen2.5:7b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,54.0,0.5558523555123847,,,,,,,,,,,,,23,31,40,6,0.36507936507936506,0.7931034482758621,0.5,54.0,0.5559,qwen2_5_7b-instruct-q4_k_m,7,q4_k_m
qwen2.5:7b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,58.0,0.5128837719298245,,,,,,,,,,,,,9,49,27,15,0.25,0.375,0.3,58.0,0.5129,qwen2_5_7b-instruct-q4_k_m,7,q4_k_m
glm4:9b-chat-q4_K_M,PromptType.COT,100,100,0,0,,,,35.0,0.46453333333333335,,,,,,,,,,,,,19,16,59,6,0.24358974358974358,0.76,0.36893203883495146,35.0,0.4645,glm4_9b-chat-q4_k_m,9,q4_k_m
glm4:9b-chat-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,36.0,0.5419146825396826,,,,,,,,,,,,,23,13,59,5,0.2804878048780488,0.8214285714285714,0.4181818181818182,36.0,0.5419,glm4_9b-chat-q4_k_m,9,q4_k_m
glm4:9b-chat-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,52.0,0.6530665280665281,,,,,,,,,,,,,18,34,40,8,0.3103448275862069,0.6923076923076923,0.4285714285714286,52.0,0.6531,glm4_9b-chat-q4_k_m,9,q4_k_m
solar-pro:22b-preview-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,41.0,0.5254761904761904,,,,,,,,,,,,,21,20,50,9,0.29577464788732394,0.7,0.41584158415841577,41.0,0.5255,solar-pro_22b-preview-instruct-q4_k_m,22,q4_k_m
solar-pro:22b-preview-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,60.0,0.5740644490644491,,,,,,,,,,,,,13,47,27,13,0.325,0.5,0.393939393939394,60.0,0.5741,solar-pro_22b-preview-instruct-q4_k_m,22,q4_k_m
solar-pro:22b-preview-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,52.0,0.6445238095238095,,,,,,,,,,,,,24,28,42,6,0.36363636363636365,0.8,0.5000000000000001,52.0,0.6445,solar-pro_22b-preview-instruct-q4_k_m,22,q4_k_m
qwen2.5:72b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,56.0,0.5388964269561284,,,,,,,,,,,,,14,42,25,19,0.358974358974359,0.42424242424242425,0.3888888888888889,56.0,0.5389,qwen2_5_72b-instruct-q4_k_m,72,q4_k_m
qwen2.5:72b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,66.0,0.5466452205882353,,,,,,,,,,,,,14,52,16,18,0.4666666666666667,0.4375,0.45161290322580644,66.0,0.5466,qwen2_5_72b-instruct-q4_k_m,72,q4_k_m
qwen2.5:72b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,55.0,0.5382417582417582,,,,,,,,,,,,,20,35,30,15,0.4,0.5714285714285714,0.47058823529411764,55.0,0.5382,qwen2_5_72b-instruct-q4_k_m,72,q4_k_m
smollm2:1.7b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,50.0,0.4992714910150558,,,,,,,,,,,,,10,40,31,19,0.24390243902439024,0.3448275862068966,0.2857142857142857,50.0,0.4993,smollm2_1_7b-instruct-q4_k_m,7,q4_k_m
smollm2:1.7b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,57.0,0.5200534759358288,,,,,,,,,,,,,16,41,25,18,0.3902439024390244,0.47058823529411764,0.4266666666666667,57.0,0.5201,smollm2_1_7b-instruct-q4_k_m,7,q4_k_m
smollm2:1.7b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,38.0,0.49506237006237,,,,,,,,,,,,,23,15,59,3,0.2804878048780488,0.8846153846153846,0.42592592592592593,38.0,0.4951,smollm2_1_7b-instruct-q4_k_m,7,q4_k_m
phi4:14b-fp16,PromptType.COT,100,100,0,0,,,,44.0,0.47691527143581935,,,,,,,,,,,,,24,20,53,3,0.3116883116883117,0.8888888888888888,0.4615384615384615,44.0,0.4769,phi4_14b-fp16,14,fp16
phi4:14b-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,60.0,0.5448807854137447,,,,,,,,,,,,,12,48,21,19,0.36363636363636365,0.3870967741935484,0.37500000000000006,60.0,0.5449,phi4_14b-fp16,14,fp16
phi4:14b-fp16,PromptType.SYSTEM1,100,100,0,0,,,,42.0,0.44543650793650796,,,,,,,,,,,,,20,22,50,8,0.2857142857142857,0.7142857142857143,0.40816326530612246,42.0,0.4454,phi4_14b-fp16,14,fp16
athene-v2:72b-q4_K_M,PromptType.COT,100,100,0,0,,,,59.0,0.5535261288685946,,,,,,,,,,,,,13,46,27,14,0.325,0.48148148148148145,0.3880597014925373,59.0,0.5535,athene-v2_72b-q4_k_m,72,q4_k_m
athene-v2:72b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,62.0,0.4802494802494802,,,,,,,,,,,,,11,51,23,15,0.3235294117647059,0.4230769230769231,0.3666666666666667,62.0,0.4802,athene-v2_72b-q4_k_m,72,q4_k_m
athene-v2:72b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,53.0,0.4698544698544698,,,,,,,,,,,,,12,41,33,14,0.26666666666666666,0.46153846153846156,0.3380281690140845,53.0,0.4699,athene-v2_72b-q4_k_m,72,q4_k_m
tulu3:70b-q4_K_M,PromptType.COT,100,100,0,0,,,,50.0,0.44207317073170727,,,,,,,,,,,,,7,43,39,11,0.15217391304347827,0.3888888888888889,0.21875000000000003,50.0,0.4421,tulu3_70b-q4_k_m,70,q4_k_m
tulu3:70b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,57.0,0.5542495479204339,,,,,,,,,,,,,14,43,36,7,0.28,0.6666666666666666,0.3943661971830986,57.0,0.5542,tulu3_70b-q4_k_m,70,q4_k_m
tulu3:70b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,48.0,0.5168650793650793,,,,,,,,,,,,,17,31,41,11,0.29310344827586204,0.6071428571428571,0.3953488372093023,48.0,0.5169,tulu3_70b-q4_k_m,70,q4_k_m
sailor2:8b-chat-q4_K_M,PromptType.COT,100,100,0,0,,,,37.0,0.5948756976154237,,,,,,,,,,,,,24,13,60,3,0.2857142857142857,0.8888888888888888,0.43243243243243246,37.0,0.5949,sailor2_8b-chat-q4_k_m,8,q4_k_m
sailor2:8b-chat-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,42.0,0.5388095238095237,,,,,,,,,,,,,23,19,51,7,0.3108108108108108,0.7666666666666667,0.4423076923076923,42.0,0.5388,sailor2_8b-chat-q4_k_m,8,q4_k_m
sailor2:8b-chat-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,44.0,0.5305494505494506,,,,,,,,,,,,,24,20,45,11,0.34782608695652173,0.6857142857142857,0.4615384615384615,44.0,0.5305,sailor2_8b-chat-q4_k_m,8,q4_k_m
granite3.1-moe:1b-instruct-fp16,PromptType.COT,100,100,0,0,,,,60.0,0.46738095238095234,,,,,,,,,,,,,11,49,21,19,0.34375,0.36666666666666664,0.3548387096774193,60.0,0.4674,granite3_1-moe_1b-instruct-fp16,1,fp16
granite3.1-moe:1b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,42.0,0.46602182539682546,,,,,,,,,,,,,22,20,52,6,0.2972972972972973,0.7857142857142857,0.43137254901960786,42.0,0.466,granite3_1-moe_1b-instruct-fp16,1,fp16
granite3.1-moe:1b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,,,,46.0,0.5517151767151767,,,,,,,,,,,,,16,30,44,10,0.26666666666666666,0.6153846153846154,0.37209302325581395,46.0,0.5517,granite3_1-moe_1b-instruct-fp16,1,fp16
olmo2:7b-1124-instruct-fp16,PromptType.COT,100,100,0,0,,,,34.0,0.5567956349206349,,,,,,,,,,,,,27,7,65,1,0.29347826086956524,0.9642857142857143,0.45,34.0,0.5568,olmo2_7b-1124-instruct-fp16,7,fp16
olmo2:7b-1124-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,34.0,0.49064983637213644,,,,,,,,,,,,,28,6,63,3,0.3076923076923077,0.9032258064516129,0.459016393442623,34.0,0.4906,olmo2_7b-1124-instruct-fp16,7,fp16
olmo2:7b-1124-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,,,,55.0,0.5631496881496881,,,,,,,,,,,,,18,37,37,8,0.32727272727272727,0.6923076923076923,0.4444444444444444,55.0,0.5631,olmo2_7b-1124-instruct-fp16,7,fp16
olmo2:7b-1124-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,36.0,0.5037400654511454,,,,,,,,,,,,,30,6,63,1,0.3225806451612903,0.967741935483871,0.48387096774193544,36.0,0.5037,olmo2_7b-1124-instruct-q4_k_m,7,q4_k_m
olmo2:7b-1124-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,29.0,0.5189333333333334,,,,,,,,,,,,,23,6,69,2,0.25,0.92,0.3931623931623932,29.0,0.5189,olmo2_7b-1124-instruct-q4_k_m,7,q4_k_m
olmo2:7b-1124-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,50.0,0.5341614906832298,,,,,,,,,,,,,13,37,40,10,0.24528301886792453,0.5652173913043478,0.3421052631578947,50.0,0.5342,olmo2_7b-1124-instruct-q4_k_m,7,q4_k_m
qwen2.5:32b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,55.0,0.5535261288685946,,,,,,,,,,,,,18,37,36,9,0.3333333333333333,0.6666666666666666,0.4444444444444444,55.0,0.5535,qwen2_5_32b-instruct-q4_k_m,32,q4_k_m
qwen2.5:32b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,67.0,0.521049896049896,,,,,,,,,,,,,8,59,15,18,0.34782608695652173,0.3076923076923077,0.32653061224489793,67.0,0.521,qwen2_5_32b-instruct-q4_k_m,32,q4_k_m
qwen2.5:32b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,61.0,0.45780590717299574,,,,,,,,,,,,,5,56,23,16,0.17857142857142858,0.23809523809523808,0.20408163265306123,61.0,0.4578,qwen2_5_32b-instruct-q4_k_m,32,q4_k_m
qwen2.5:14b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,51.0,0.4568068747173225,,,,,,,,,,,,,17,34,33,16,0.34,0.5151515151515151,0.40963855421686746,51.0,0.4568,qwen2_5_14b-instruct-q4_k_m,14,q4_k_m
qwen2.5:14b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,62.0,0.4319047619047619,,,,,,,,,,,,,14,48,22,16,0.3888888888888889,0.4666666666666667,0.42424242424242425,62.0,0.4319,qwen2_5_14b-instruct-q4_k_m,14,q4_k_m
qwen2.5:14b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,61.0,0.4533991228070175,,,,,,,,,,,,,7,54,22,17,0.2413793103448276,0.2916666666666667,0.26415094339622647,61.0,0.4534,qwen2_5_14b-instruct-q4_k_m,14,q4_k_m
