,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
77,0,1983,5,3,3,5,0,0,0,1,1,1,1,0,0,187.0,0,1,5,55,5,0,8,7,4,0,3,3,1,3,3
78,1,1982,5,6,3,5,0,0,0,1,1,1,6,0,1,145.0,3,3,5,26,5,0,8,12,4,0,3,2,1,0,5
79,0,1980,5,4,0,3,0,0,0,0,0,0,1,0,0,153.0,1,1,3,33,3,4,7,2,1,0,3,2,5,2,3
80,1,1980,6,3,2,3,0,0,0,1,0,1,2,0,1,220.0,5,1,5,79,5,0,8,2,1,0,2,3,12,2,3
81,0,1982,5,7,1,4,0,0,0,1,0,1,6,1,1,140.0,2,3,2,22,5,0,8,7,4,1,3,2,1,0,2
82,1,1981,5,9,1,4,0,0,0,0,0,0,1,0,0,215.0,7,1,2,77,4,4,9,7,4,0,3,2,1,2,3
83,1,1980,5,9,0,3,0,0,0,1,1,1,1,1,0,185.0,11,0,2,61,5,0,8,12,4,0,3,3,2,3,2
84,0,1981,5,2,1,5,0,0,0,1,0,1,1,0,1,140.0,1,0,2,22,5,4,9,12,4,0,3,2,1,2,2
85,0,1980,5,10,0,5,0,1,0,0,0,0,1,1,0,210.0,11,0,2,75,5,4,9,5,4,0,3,2,2,3,2
86,1,1981,6,1,0,4,0,0,0,1,1,1,1,1,1,240.0,3,1,3,86,5,0,8,7,4,0,3,2,1,2,3
87,1,1982,5,9,1,6,0,0,0,1,0,1,2,0,0,180.0,10,0,2,57,5,0,8,7,0,0,3,2,1,2,2
88,1,1982,5,11,0,5,0,0,0,1,0,1,8,1,1,165.0,8,0,2,45,5,0,8,2,1,0,3,2,1,2,2
89,1,1983,5,8,1,3,0,1,0,1,0,1,1,0,0,180.0,2,0,2,57,5,0,3,7,4,0,3,2,1,0,2
90,1,1981,5,10,0,7,0,0,0,1,1,1,2,0,0,195.0,2,3,5,68,5,3,6,7,4,0,3,1,1,2,5
91,1,1981,5,7,4,6,0,0,0,0,0,0,3,0,1,12.5,2,0,2,0,5,3,6,7,4,0,3,3,1,2,2
92,1,1981,5,11,2,4,0,0,0,1,0,1,8,0,1,162.0,10,3,5,31,5,3,6,5,3,1,2,3,1,2,5
93,1,1981,5,10,1,3,0,0,0,1,0,1,1,0,1,160.0,3,3,5,40,5,4,1,9,2,0,2,2,1,2,5
94,1,1980,5,11,3,5,0,0,0,0,0,0,2,0,0,187.0,3,0,2,55,5,4,5,7,0,1,3,2,8,2,2
95,1,1984,6,0,1,6,0,0,0,1,1,1,1,0,0,187.0,3,3,5,55,5,4,7,9,2,0,2,3,1,2,5
