sex_recorded_in_1997,marriage_or_cohabitation_status_in_2002,jobs_held_in_2002,household_size_in_1997,parent_or_guardian_relationship_at_age_12,homeless_for_2+_nights_over_last_5_years,used_cocaine_or_other_hard_drug_in_last_4_years,number_of_arrests_in_last_5_years,weight_in_lbs,height_total_inches,target
male,"never married, not cohabiting",0,2,"biological dad, marital status unknown",False,False,2,188.0,69,0
female,"never married, cohabiting",2,3,"biological mother, marital status unknown",False,True,1,220.0,68,0
female,"never married, cohabiting",3,5,Unknown,False,True,2,130.0,67,0
female,"never married, not cohabiting",0,6,"biological mother, marital status unknown",False,False,4,221.0,65,1
female,"never married, not cohabiting",1,6,"biological mother, marital status unknown",False,False,1,257.5,69,1
male,"never married, not cohabiting",1,5,Unknown,False,False,1,160.0,73,1
male,"never married, not cohabiting",3,5,both biological parents,False,True,4,165.0,67,1
male,"never married, not cohabiting",5,5,both biological parents,False,False,1,170.0,71,0
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,1,165.0,68,0
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,True,4,140.0,66,1
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,True,1,160.0,69,0
male,"never married, not cohabiting",0,4,both biological parents,False,False,1,165.0,70,0
male,"never married, not cohabiting",1,3,Unknown,False,False,2,170.0,73,0
male,"never married, cohabiting",0,4,"biological mother, marital status unknown",False,True,5,187.0,72,0
male,"never married, not cohabiting",3,4,Unknown,False,False,1,127.0,66,0
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,4,170.0,72,0
male,"never married, not cohabiting",0,5,Unknown,False,False,2,185.0,77,0
male,"never married, not cohabiting",1,5,both biological parents,False,True,2,168.0,67,0
male,"never married, not cohabiting",3,4,both biological parents,False,True,1,135.0,70,1
female,"married, spouse present",0,4,"biological mother, marital status unknown",False,False,1,185.0,63,1
female,"never married, cohabiting",0,4,"biological mother, marital status unknown",False,False,1,130.0,63,0
male,"never married, cohabiting",2,3,"biological mother, marital status unknown",True,False,1,160.0,73,0
male,"never married, cohabiting",3,4,Unknown,False,False,1,155.0,70,0
male,"never married, cohabiting",1,6,"biological mother, marital status unknown",False,False,1,184.0,71,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,3,165.0,69,1
male,"never married, not cohabiting",1,8,Unknown,False,False,3,69.5,73,1
male,"never married, not cohabiting",1,5,"biological dad, marital status unknown",False,False,2,140.0,81,1
male,"never married, cohabiting",1,4,"biological mother, marital status unknown",False,False,1,215.0,69,0
female,"never married, not cohabiting",1,4,both biological parents,False,True,1,110.0,64,1
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,1,140.0,67,0
female,"never married, cohabiting",2,7,both biological parents,False,True,2,212.0,67,0
male,"never married, not cohabiting",3,5,both biological parents,False,False,1,170.0,70,0
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,1,212.0,73,0
male,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,False,3,250.0,73,0
male,"married, spouse present",2,5,both biological parents,False,True,2,257.5,74,0
male,"never married, not cohabiting",4,5,"biological mother, marital status unknown",False,False,1,183.0,76,0
male,"never married, not cohabiting",3,4,both biological parents,False,False,1,237.0,69,0
male,"never married, not cohabiting",1,3,adoptive parent(s),False,False,1,155.0,70,1
male,"never married, not cohabiting",0,5,"biological mother, marital status unknown",False,True,2,155.0,68,1
male,"married, spouse absent",2,11,Unknown,False,False,3,230.0,67,0
male,"never married, cohabiting",0,5,"biological mother, marital status unknown",False,False,5,165.0,69,0
female,"never married, cohabiting",1,5,"biological mother, marital status unknown",False,False,4,160.0,62,0
male,"never married, not cohabiting",0,4,Unknown,False,False,5,208.0,75,0
male,"never married, not cohabiting",0,5,"biological mother, marital status unknown",False,False,1,155.0,68,0
female,"never married, not cohabiting",2,6,Unknown,False,False,1,120.0,65,0
female,"never married, cohabiting",2,5,both biological parents,False,True,4,185.0,63,0
male,"never married, not cohabiting",0,3,"biological father, other parent present",False,False,1,160.0,69,0
male,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,False,1,180.0,68,0
female,"never married, cohabiting",4,5,"biological mother, marital status unknown",False,True,4,110.0,62,0
female,"never married, cohabiting",0,2,"biological mother, marital status unknown",False,True,2,120.0,65,0
female,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,1,170.0,62,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,3,212.0,72,0
male,"never married, cohabiting",3,4,"biological mother, marital status unknown",False,False,8,193.0,74,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,1,257.5,66,0
female,"never married, not cohabiting",4,3,"biological mother, marital status unknown",False,True,3,145.0,66,0
male,"never married, not cohabiting",3,5,both biological parents,False,False,4,190.0,68,0
female,"married, spouse present",2,5,"biological mother, marital status unknown",False,False,1,110.0,66,0
male,"never married, not cohabiting",0,6,both biological parents,False,True,2,180.0,73,1
male,"never married, not cohabiting",2,3,Unknown,False,False,1,187.0,71,0
female,"never married, not cohabiting",1,3,Unknown,False,False,1,112.0,61,0
male,"never married, not cohabiting",3,5,"biological mother, other parent present",False,False,1,212.0,67,0
male,"never married, not cohabiting",0,4,Unknown,False,False,1,155.0,68,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,True,19,185.0,69,0
male,"never married, cohabiting",1,5,"biological mother, marital status unknown",False,False,6,162.0,73,1
female,"married, spouse present",2,5,"other adults, biological parent status unknown, not group quarters",False,False,1,130.0,62,0
female,"never married, not cohabiting",4,5,"biological mother, marital status unknown",False,False,2,245.0,68,1
male,"never married, not cohabiting",1,3,"other adults, biological parent status unknown, not group quarters",False,False,1,145.0,81,1
male,"never married, not cohabiting",1,4,both biological parents,False,False,6,170.0,67,0
male,"never married, not cohabiting",1,5,anything else,False,False,2,160.0,69,0
male,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,1,165.0,81,1
male,"never married, not cohabiting",2,3,"other adults, biological parent status unknown, not group quarters",False,True,2,257.5,75,1
male,"never married, not cohabiting",4,5,both biological parents,False,True,3,162.0,71,1
male,"never married, not cohabiting",2,4,Unknown,False,False,1,162.0,73,1
male,"never married, not cohabiting",2,3,"other adults, biological parent status unknown, not group quarters",False,True,1,180.0,70,0
male,"never married, not cohabiting",2,6,both biological parents,False,False,1,187.0,72,0
female,"never married, not cohabiting",2,4,both biological parents,False,True,2,137.0,63,0
male,"never married, not cohabiting",5,3,"biological mother, marital status unknown",False,False,1,210.0,72,0
female,"never married, cohabiting",0,4,"biological mother, other parent present",False,False,1,187.0,69,0
male,"never married, cohabiting",4,5,"biological mother, marital status unknown",True,False,2,189.0,74,0
female,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,1,212.0,63,0
male,"married, spouse present",2,6,Unknown,False,False,1,140.0,64,0
male,"never married, cohabiting",4,5,"biological mother, marital status unknown",False,True,9,160.0,69,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,5,210.0,77,0
male,"never married, not cohabiting",2,3,"biological dad, marital status unknown",False,True,2,162.0,71,1
male,"never married, not cohabiting",3,5,"biological mother, marital status unknown",True,True,1,140.0,71,0
male,"never married, not cohabiting",2,7,"biological mother, marital status unknown",True,False,1,250.0,73,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,2,154.0,70,1
male,"never married, not cohabiting",1,5,"biological mother, other parent present",True,True,2,155.0,71,1
male,"never married, not cohabiting",2,6,both biological parents,False,False,2,187.0,74,0
female,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,False,1,135.0,63,0
male,"never married, not cohabiting",2,4,"biological dad, marital status unknown",False,False,1,156.0,69,1
male,"never married, not cohabiting",3,5,both biological parents,False,False,1,190.0,69,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,2,162.0,68,0
